,Bacteroidetes,Firmicutes,Actinobacteria,Tenericutes,Proteobacteria,Verrucomicrobia,Cyanobacteria,,,,,,,,,,,,,,,,,,,
,Violin,Bassoon,Oboe,Viola,Clarinet,Flute,Horn,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
192,24.46%,65.81%,4.17%,4.79%,0.76%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
193,9.13%,71.54%,7.22%,11.68%,0.43%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
194,4.30%,77.85%,5.00%,11.62%,1.23%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
195,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
196,35.67%,56.46%,2.28%,3.99%,1.59%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
197,16.14%,73.81%,2.60%,6.53%,0.92%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
198,1.23%,79.05%,5.80%,12.04%,1.88%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
199,47.71%,45.23%,1.63%,3.46%,1.98%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
200,21.28%,67.12%,7.18%,3.47%,0.96%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
201,29.05%,64.61%,2.15%,2.80%,1.39%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
202,44.75%,46.72%,1.61%,3.59%,3.33%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
203,14.13%,68.91%,4.96%,11.48%,0.52%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
204,39.11%,49.32%,2.95%,7.42%,1.19%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
205,33.34%,53.42%,1.89%,7.95%,3.40%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
206,2.01%,78.80%,5.52%,12.99%,0.68%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
207,7.48%,76.43%,7.18%,7.01%,1.89%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
208,17.86%,59.93%,8.46%,11.74%,2.01%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
209,33.09%,62.23%,0.67%,1.38%,2.62%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
210,25.07%,66.22%,1.29%,5.35%,2.07%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
211,35.94%,55.80%,2.72%,4.73%,0.80%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
212,7.93%,75.81%,7.42%,8.46%,0.37%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
213,22.81%,65.54%,2.97%,7.93%,0.75%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
214,18.75%,71.99%,4.88%,3.83%,0.55%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
215,9.41%,66.27%,5.34%,16.59%,2.38%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
216,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
217,12.49%,68.59%,3.46%,13.70%,1.76%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
218,29.54%,58.01%,6.33%,5.43%,0.68%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
219,9.84%,74.63%,3.54%,11.65%,0.33%,0.00%,0.02%,,,,,,,,,,,,,,,,,,,
220,20.88%,63.63%,2.71%,11.67%,1.11%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
221,0.50%,76.71%,4.16%,17.15%,1.48%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
222,9.34%,78.04%,3.05%,9.36%,0.21%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
223,7.06%,75.10%,2.70%,14.20%,0.95%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
224,29.96%,62.00%,0.69%,5.43%,1.90%,0.00%,0.02%,,,,,,,,,,,,,,,,,,,
225,13.67%,73.34%,2.37%,10.10%,0.51%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
226,8.28%,81.82%,1.95%,7.55%,0.39%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
227,19.85%,70.51%,2.00%,6.53%,1.11%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
228,22.22%,67.24%,1.24%,7.91%,1.39%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
229,28.56%,61.18%,1.98%,6.03%,2.25%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
230,40.79%,50.47%,0.74%,6.36%,1.63%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
231,21.19%,68.66%,0.86%,7.22%,2.07%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
232,10.68%,73.62%,3.17%,10.00%,2.50%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
233,4.89%,79.44%,8.06%,7.26%,0.35%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
234,6.52%,73.18%,4.14%,15.68%,0.47%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
235,2.53%,80.65%,6.50%,9.68%,0.63%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
236,8.55%,76.40%,5.23%,9.32%,0.50%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
237,37.33%,51.97%,1.50%,8.14%,1.06%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
