#OTU ID,Bacteria,Phylum,Class,Order,Family,Genus,Species
296137,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
296165,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
296256,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,,
296257,Bacteria,Firmicutes,Clostridia,Clostridiales,,,
296275,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,
296298,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
296377,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
296403,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,
296424,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
296470,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,,,
296474,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
296516,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
296591,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
296607,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,
296695,Bacteria,Firmicutes,Clostridia,Clostridiales,,,
296697,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
296723,Bacteria,Firmicutes,Clostridia,Clostridiales,,,
296726,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,,
296770,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,
296860,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
296872,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,
296901,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
296902,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
296918,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,
296941,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
296948,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
296949,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
296960,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
296977,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
296994,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,
297045,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
297101,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
297182,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,
297208,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
297307,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,
297372,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
297411,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
297498,Bacteria,Firmicutes,Clostridia,Clostridiales,,,
297522,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
297531,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,
297565,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,
297602,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,
297641,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,
297642,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,
297662,Bacteria,Firmicutes,Clostridia,Clostridiales,,,
297678,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
297701,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,
297708,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,
297796,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
297804,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
297819,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
297917,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,
297920,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,
297938,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,
297963,Bacteria,Firmicutes,Clostridia,Clostridiales,,,
298009,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
298031,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
298036,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira,
298105,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
298107,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
298301,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
